DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SAT,1,00001307,N HIGH ST & BUTTLES AVE,9,9,19,39.976963,-83.003333,955
SAT,152,00007511,COTA TRANSIT TERMINAL BA,0,19,19,39.956366,-82.998916,956
SAT,5,00003816,S HAMILTON RD & REFUGEE,3,15,18,39.916008,-82.880468,957
SAT,24,00007979,298 HAMILTON RD,3,16,18,40.011185,-82.867056,958
SAT,8,00007279,HAMILTON AVE & E 20TH AV,4,14,18,40.003777,-82.979687,959
SAT,7,00001853,N CASSADY AVE & E 10TH A,14,5,18,39.989632,-82.93065,960
SAT,1,00004096,N HIGH ST & SWAN ST,3,15,18,39.973207,-83.002559,961
SAT,25,00005159,BRICE RD & LIVINGSTON AV,5,13,18,39.942564,-82.829779,962
SAT,31,00006517,EASTON WAY & MORSE CROSS,1,17,18,40.048461,-82.919401,963
SAT,3,00006980,BUCKEYE PKWY & ROAD B,13,5,18,39.876309,-83.039891,964
SAT,8,00004604,RED ROBIN RD & TAMARACK,3,15,18,40.064831,-82.970507,965
SAT,32,00006870,EASTON WAY & EASTON SQUA,2,17,18,40.048027,-82.915627,966
SAT,34,00007335,MORSE RD & CHATEAU MORSE,8,10,18,40.058506,-82.932805,967
SAT,22,00007960,N CHAMPION AVE & MT VERN,13,6,18,39.972744,-82.968445,968
SAT,8,00004638,OBETZ RD & SOUTHPOINT BL,13,5,18,39.882137,-82.998609,969
SAT,6,00002740,SULLIVANT AVE & DANA AVE,11,8,18,39.950792,-83.03455,970
SAT,3,00006415,S FRONT ST & W MAIN ST,17,1,18,39.955205,-83.001049,971
SAT,5,00007978,E WHITTIER ST & SEYMOUR,8,10,18,39.942999,-82.955482,972
SAT,8,00001825,E 11TH AVE & ESSEX AVE,9,9,18,39.994002,-82.987726,973
SAT,102,00007483,8685 SANCUS BLVD,15,3,18,40.140589,-82.991402,974
SAT,3,00001586,S 4TH ST & E TOWN ST,3,15,18,39.958937,-82.995514,975
SAT,8,00001695,NEIL AVE & W 5TH AVE,10,8,18,39.987173,-83.013014,976
SAT,8,00005377,KARL RD & NORTHLAND SR V,12,6,18,40.048693,-82.976888,977
SAT,7,00001635,MOUNT VERNON AVE & TAYLO,6,12,18,39.974154,-82.96136,978
SAT,2,00004094,N HIGH ST & OHIO CENTER,7,11,18,39.969836,-83.001703,979
SAT,7,00006398,S FRONT ST & W TOWN ST,14,4,18,39.95902,-83.001735,980
SAT,1,00005142,EASTGREEN BLVD & OFFICEV,16,2,18,39.938477,-82.829021,981
SAT,2,00003850,E MAIN ST & LAMBY LN,14,5,18,39.955987,-82.89222,982
SAT,2,00002333,E MAIN ST & KENWICK RD,14,4,18,39.956883,-82.923713,983
SAT,152,00007984,COTA TRANSIT TERMINAL BA,18,0,18,39.956649,-82.999734,984
SAT,11,00006405,1025 ALUM CREEK DR,9,9,18,39.946886,-82.94498,985
SAT,24,00006709,MORSE RD & KOHLS ENTRANC,15,3,18,40.055501,-82.866129,986
SAT,33,00007740,W HENDERSON RD & KENNY R,5,13,18,40.05299,-83.050002,987
SAT,2,00002347,E MAIN ST & MILLER AVE,8,9,18,39.957694,-82.960557,988
SAT,10,00002532,E BROAD ST & N BROADLEIG,13,5,18,39.971166,-82.921773,989
SAT,34,00004015,MORSE RD & KINGSHILL DR,6,12,18,40.061409,-82.990233,990
SAT,6,00002742,SULLIVANT AVE & S GLENWO,12,5,18,39.951774,-83.029284,991
SAT,34,00007087,MORSE RD & INDIANOLA AVE,5,13,18,40.061744,-82.999675,992
SAT,8,00001729,HAMILTON AVE & DUXBERRY,2,16,18,40.009019,-82.979335,993
SAT,2,00002349,E MAIN ST & WILSON AVE,11,7,18,39.957727,-82.966458,994
SAT,32,00001134,CLEVELAND AVE & OAKLAND,10,8,18,40.031805,-82.964176,995
SAT,11,00006314,1900 ALUM CREEK DR,3,15,18,39.930765,-82.940672,996
SAT,6,00005052,SULLIVANT AVE & DEMOREST,2,15,18,39.942948,-83.09003,997
SAT,21,00005216,RESLER DR & SAWMILL RD,4,14,18,40.067864,-83.091524,999
SAT,24,00006663,4180 STELZER RD,1,17,18,40.059536,-82.91014,999
SAT,25,00007317,BRICE RD & LIVINGSTON AV,13,5,18,39.94231,-82.82995,1000
